,model,winsize,stride,hallucinations,truths,p_hallu,total_windows
0,OPT,1,1,25270,50545,0.33,75815
1,OPT,1,1,25270,50545,0.33,75815
2,OPT,6,1,54943,19472,0.74,74415
3,OPT,6,6,9171,3264,0.74,12435
4,OPT,10,1,58371,14924,0.8,73295
5,OPT,10,10,5963,1605,0.79,7568
6,OPT,16,1,60152,11463,0.84,71615
7,OPT,16,16,3805,788,0.83,4593
8,OPT,50,1,55361,6772,0.89,62133
9,OPT,50,50,1206,143,0.89,1349
10,mini_GPT,1,1,22346,150709,0.13,173055
11,mini_GPT,1,1,22346,150709,0.13,173055
12,mini_GPT,6,1,49573,120072,0.29,169645
13,mini_GPT,6,6,8340,20350,0.29,28690
14,mini_GPT,10,1,59348,107569,0.36,166917
15,mini_GPT,10,10,6099,11047,0.36,17146
16,mini_GPT,16,1,69755,93070,0.43,162825
17,mini_GPT,16,16,4473,5937,0.43,10410
18,mini_GPT,50,1,93684,45953,0.67,139637
19,mini_GPT,50,50,2210,1071,0.67,3281
20,pythia,1,1,27649,57087,0.33,84736
21,pythia,1,1,27649,57087,0.33,84736
22,pythia,6,1,58238,24998,0.7,83236
23,pythia,6,6,9799,4290,0.7,14089
24,pythia,10,1,61806,20230,0.75,82036
25,pythia,10,10,6281,2112,0.75,8393
26,pythia,16,1,62681,17555,0.78,80236
27,pythia,16,16,3961,1135,0.78,5096
28,pythia,50,1,56112,13924,0.8,70036
29,pythia,50,50,1215,284,0.81,1499
