,model,winsize,stride,hallucinations,truths,p_hallu,total_windows
0,OPT,1,1,34727,41088,0.4580491987073798,75815
1,OPT,5,1,54313,20382,0.7271303300087021,74695
2,OPT,5,5,10978,4162,0.7250990752972258,15140
3,OPT,10,1,58790,14505,0.8021010983013848,73295
4,OPT,10,10,6005,1563,0.7934725158562368,7568
5,OPT,15,1,60312,11583,0.8388900479866472,71895
6,OPT,15,15,4017,845,0.8262032085561497,4862
7,OPT,35,1,58671,7635,0.8848520495882726,66306
8,OPT,35,35,1904,255,0.8818897637795275,2159
9,mini_GPT,1,1,27619,145436,0.15959666002138048,173055
10,mini_GPT,5,1,49601,120726,0.2912104363958738,170327
11,mini_GPT,5,5,10017,24455,0.290583662102576,34472
12,mini_GPT,10,1,62367,104550,0.37364079153112023,166917
13,mini_GPT,10,10,6400,10746,0.37326490143473695,17146
14,mini_GPT,15,1,70926,92581,0.4337795935342218,163507
15,mini_GPT,15,15,4896,6469,0.4307963044434668,11365
16,mini_GPT,35,1,89918,59949,0.5999853203173481,149867
17,mini_GPT,35,35,2772,1822,0.6033957335655202,4594
18,mini_GPT,50,1,95018,44619,0.6804643468421694,139637
19,mini_GPT,50,50,2236,1045,0.6814995428223103,3281
20,pythia,1,1,36729,48007,0.4334521336858006,84736
21,pythia,5,1,57779,25757,0.6916658686075464,83536
22,pythia,5,5,11578,5209,0.6897003633764223,16787
23,pythia,10,1,62458,19578,0.7613486761909406,82036
24,pythia,10,10,6365,2028,0.7583700702966758,8393
25,pythia,15,1,63136,17400,0.7839475514055826,80536
26,pythia,15,15,4215,1181,0.7811341734618236,5396
27,pythia,35,1,59833,14703,0.8027396157561447,74536
28,pythia,35,35,1934,464,0.8065054211843202,2398
