,model,winsize,stride,hallucinations,truths,p_hallu,total_windows
0,OPT,1,1,25270,50545,0.3333113499967025,75815
1,OPT,1,1,25270,50545,0.3333113499967025,75815
2,OPT,5,1,53263,21432,0.7130731642010845,74695
3,OPT,5,5,10760,4380,0.7107001321003963,15140
4,OPT,10,1,58371,14924,0.7963844737021625,73295
5,OPT,10,10,5963,1605,0.7879228329809725,7568
6,OPT,15,1,60027,11868,0.8349259336532443,71895
7,OPT,15,15,3994,868,0.8214726450020567,4862
8,OPT,35,1,58613,7693,0.8839773172865201,66306
9,OPT,35,35,1904,255,0.8818897637795275,2159
10,OPT,50,1,55361,6772,0.8910079989699515,62133
11,OPT,50,50,1206,143,0.8939955522609341,1349
12,mini_GPT,1,1,22346,150709,0.12912657825546792,173055
13,mini_GPT,1,1,22346,150709,0.12912657825546792,173055
14,mini_GPT,5,1,46598,123729,0.27357964386151346,170327
15,mini_GPT,5,5,9409,25063,0.2729461592016709,34472
16,mini_GPT,10,1,59348,107569,0.3555539579551514,166917
17,mini_GPT,10,10,6099,11047,0.3557097865391345,17146
18,mini_GPT,15,1,68268,95239,0.4175234087837218,163507
19,mini_GPT,15,15,4720,6645,0.41531016278046634,11365
20,mini_GPT,35,1,88117,61750,0.5879679982918188,149867
21,mini_GPT,35,35,2712,1882,0.5903352198519809,4594
22,mini_GPT,50,1,93684,45953,0.670911004962868,139637
23,mini_GPT,50,50,2210,1071,0.6735751295336787,3281
24,pythia,1,1,27649,57087,0.3262957892749245,84736
25,pythia,1,1,27649,57087,0.3262957892749245,84736
26,pythia,5,1,56356,27180,0.6746312966864585,83536
27,pythia,5,5,11296,5491,0.6729016500863764,16787
28,pythia,10,1,61806,20230,0.7534009459261788,82036
29,pythia,10,10,6281,2112,0.7483617300131061,8393
30,pythia,15,1,62721,17815,0.7787945763385319,80536
31,pythia,15,15,4189,1207,0.7763157894736842,5396
32,pythia,35,1,59458,15078,0.7977084898572502,74536
33,pythia,35,35,1921,477,0.8010842368640534,2398
34,pythia,50,1,56112,13924,0.8011879604774688,70036
35,pythia,50,50,1215,284,0.8105403602401601,1499
